contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,timeToExpiry,mid,moneyness,impliedVol,delta,gamma,vega,theta,rho,speed
SPY260313P00673000,2026-03-12 20:14:57+00:00,673.0,7.83,7.64,8.02,4.5699997,140.18404,4561.0,4942,0.2512281909179687,True,REGULAR,USD,0.0027397260273972603,7.83,1.0104194854320099,0.23758758911574537,-0.793709531889442,0.034430025894470424,9.942484861275025,-411.76311037153954,-1.4698305996604424,0.003354126758449618
SPY260313P00674000,2026-03-12 20:14:08+00:00,674.0,8.7,8.44,8.81,5.1099997,142.33981,4338.0,3728,0.24976336181640624,True,REGULAR,USD,0.0027397260273972603,8.625,1.0119208516807943,0.23551853668186973,-0.8282088274033885,0.03102650799370149,8.881612712837736,-361.55322148378167,-1.5349637522913582,0.0035322526620112102
SPY260313P00675000,2026-03-12 20:14:41+00:00,675.0,9.42,9.19,9.62,5.46,137.87878,17178.0,55002,0.247077841796875,True,REGULAR,USD,0.0027397260273972603,9.405,1.0134222179295789,0.22697215942140775,-0.8660739264087758,0.027288265594782164,7.528047684892782,-290.6951938249101,-1.606197802107253,0.003780100023437468
SPY260313P00676000,2026-03-12 20:14:58+00:00,676.0,10.26,10.15,10.48,5.9100003,135.86209,2639.0,3656,0.24658956542968752,True,REGULAR,USD,0.0027397260273972603,10.315000000000001,1.0149235841783635,0.23133445255082666,-0.8866995276386583,0.023813225273266205,6.695644325402114,-261.017502928799,-1.646329002820808,0.003534469159381166
SPY260313P00677000,2026-03-12 20:14:57+00:00,677.0,11.11,10.94,11.34,6.3399997,132.91403,3058.0,7419,0.242195078125,True,REGULAR,USD,0.0027397260273972603,11.14,1.016424950427148,0.21751771794941596,-0.9216921424398428,0.01928947091122293,5.099748892322508,-179.91187338221872,-1.7124446079566982,0.003574248249283714
SPY260313P00678000,2026-03-12 20:11:47+00:00,678.0,12.19,11.79,12.24,7.0499997,137.15953,9827.0,10772,0.24024197265624997,True,REGULAR,USD,0.0027397260273972603,12.015,1.0179263166759327,0.20274254313668036,-0.9515095043344993,0.014238547254724182,3.5086852340998638,-106.54288150613829,-1.7692532005557557,0.0033219234465917263
SPY260313P00679000,2026-03-12 20:12:27+00:00,679.0,13.08,12.77,13.19,7.36,128.67134,8875.0,11693,0.24463645996093752,True,REGULAR,USD,0.0027397260273972603,12.98,1.019427682924717,0.20493957747098013,-0.9623930363314718,0.011469884623094754,2.857055811306406,-83.28170163613683,-1.7917575442403295,0.0028389275421878612
SPY260313P00680000,2026-03-12 20:14:36+00:00,680.0,13.71,13.66,14.38,7.4,117.27417,3576.0,17384,0.2963937548828125,True,REGULAR,USD,0.0027397260273972603,14.02,1.0209290491735017,0.2310383832670556,-0.9553012622691955,0.01170436942224108,3.2867448881215444,-115.1403691393819,-1.7816656340169763,0.0024506490820616613
SPY260313P00681000,2026-03-12 20:14:23+00:00,681.0,14.99,14.5,15.35,8.0,114.44922,754.0,2980,0.3061592822265625,True,REGULAR,USD,0.0027397260273972603,14.925,1.0224304154222863,0.20489330287908883,-0.9800028459029763,0.006777366206102054,1.687806109363827,-39.042832251107484,-1.8292210855192517,0.001938439713343753
SPY260313P00682000,2026-03-12 20:06:28+00:00,682.0,15.46,15.45,16.34,7.95,105.85885,1352.0,4490,0.3193427441406249,True,REGULAR,USD,0.0027397260273972603,15.895,1.023931781671071,0.1925872721561033,-0.9901304693298643,0.003924263621105616,0.9185855187287838,-7.938192048075361,-1.850359720652418,0.0013566708952479113
SPY260313P00683000,2026-03-12 20:07:40+00:00,683.0,16.69,16.5,17.35,8.59,106.04938,315.0,2276,0.3364324169921875,True,REGULAR,USD,0.0027397260273972603,16.925,1.0254331479198555,0.22789990447014832,-0.9817435397115809,0.005639191013310653,1.5620494814960435,-40.78509931129835,-1.8378769858974522,0.0014757418481752143
SPY260313P00684000,2026-03-12 20:12:11+00:00,684.0,18.11,17.46,18.35,9.210001,103.48316,1002.0,4060,0.35108070800781244,True,REGULAR,USD,0.0027397260273972603,17.905,1.02693451416864,0.2238626513740369,-0.9879005401243229,0.00403073538003015,1.0967301152627684,-20.440423733104726,-1.8517973496926547,0.001158024051545486
